<OPEN_43371>,<HIGH_43371>,<LOW_43371>,<CLOSE_43371>,<OPEN_43403>,<HIGH_43403>,<LOW_43403>,<CLOSE_43403>,<OPEN_43432>,<HIGH_43432>,<LOW_43432>,<CLOSE_43432>,<OPEN_43437>,<HIGH_43437>,<LOW_43437>,<CLOSE_43437>
117100,117100,117040,117100,110660,110700,110640,110680,110220,110300,110210,110300,115170,115180,115150,115170
117110,117150,117090,117130,110690,110740,110670,110710,110300,110300,110250,110260,115170,115180,115150,115180
117130,117160,117090,117160,110720,110750,110710,110730,110270,110310,110240,110270,115180,115200,115140,115190
117140,117150,117080,117090,110730,110750,110680,110690,110270,110300,110240,110250,115190,115200,115170,115170
117100,117140,117050,117050,110690,110710,110650,110670,110240,110260,110210,110220,115170,115190,115130,115140
117050,117060,117020,117050,110660,110660,110570,110600,110210,110230,110130,110130,115130,115140,114930,114950
117040,117160,117030,117160,110600,110620,110550,110570,110140,110150,110100,110120,114950,114960,114830,114920
117160,117170,117020,117070,110570,110590,110530,110530,110120,110130,110090,110120,114910,114990,114900,114990
117060,117170,117030,117130,110540,110580,110540,110550,110120,110170,110110,110150,114990,115030,114980,114990
117120,117170,117120,117140,110540,110600,110530,110600,110170,110240,110140,110200,114990,115020,114950,115000
117140,117140,117090,117100,110590,110630,110590,110630,110200,110240,110170,110240,115000,115020,114970,114990
117090,117110,117080,117110,110630,110640,110570,110580,110230,110240,110140,110170,114990,115000,114940,114940
117120,117150,117110,117110,110580,110600,110460,110460,110180,110180,110110,110120,114950,114990,114910,114980
117110,117110,117050,117050,110460,110490,110390,110410,110120,110130,110090,110110,114990,115000,114960,114990
117060,117110,117060,117090,110410,110450,110380,110420,110110,110220,110110,110200,114960,114980,114910,114960
117100,117100,116970,116980,110420,110490,110420,110460,110200,110200,110170,110170,114960,114990,114950,114980
116980,117000,116900,116960,110480,110550,110450,110540,110180,110180,110120,110120,114970,115020,114960,115000
116970,116970,116750,116760,110530,110560,110430,110450,110120,110120,110050,110060,115010,115030,114990,115000
116770,116880,116740,116840,110450,110460,110430,110450,110060,110090,110040,110050,114990,115080,114990,115070
116830,116830,116770,116810,110460,110480,110430,110460,110050,110090,110040,110070,115060,115070,115010,115020
116800,116840,116780,116790,110460,110500,110430,110480,110050,110060,109990,110020,115010,115020,114990,115010
116790,116850,116760,116840,110480,110570,110480,110530,110040,110070,110020,110060,115010,115080,115010,115050
116830,116890,116820,116880,110540,110540,110460,110470,110050,110050,110000,110000,115030,115070,115010,115050
116890,116890,116850,116850,110470,110490,110400,110420,110010,110020,109960,109960,115040,115050,115010,115040
116860,116890,116850,116860,110420,110490,110400,110470,109970,110030,109970,110000,115030,115050,115000,115010
116870,116920,116850,116900,110480,110520,110440,110470,110010,110010,109970,109980,115000,115040,114950,115010
116900,116930,116890,116890,110460,110630,110440,110600,109990,110080,109990,110080,115020,115070,114990,115070
116890,116890,116740,116760,110610,110690,110570,110680,110080,110240,110070,110190,115070,115090,114920,114980
116770,116820,116750,116770,110680,110730,110650,110720,110200,110210,110160,110190,114980,115030,114960,114980
116780,116780,116700,116730,110720,110790,110700,110760,110190,110240,110160,110230,114980,115000,114950,114980
116740,116780,116730,116740,110760,110780,110730,110760,110220,110260,110170,110260,114990,115000,114940,114990
116750,116750,116670,116690,110770,110770,110710,110730,110260,110280,110220,110250,114980,115030,114980,115010
116690,116740,116670,116730,110740,110750,110670,110690,110260,110270,110220,110250,115010,115020,114970,114990
116720,116750,116690,116730,110690,110730,110670,110720,110250,110260,110220,110240,115000,115050,114990,115050
116730,116750,116710,116710,110700,110790,110700,110770,110220,110280,110200,110280,115030,115090,115030,115090
116720,116720,116650,116690,110760,110760,110680,110700,110280,110370,110260,110300,115100,115220,115100,115200
116680,116710,116660,116700,110690,110740,110660,110690,110310,110320,110230,110240,115200,115220,115170,115200
116700,116830,116690,116820,110680,110700,110650,110660,110260,110290,110250,110270,115210,115210,115130,115140
116830,116840,116780,116840,110660,110730,110630,110700,110270,110290,110190,110210,115140,115150,115090,115090
116840,116870,116760,116790,110690,110710,110670,110680,110220,110220,110170,110190,115090,115150,115090,115120
116790,116790,116700,116710,110680,110710,110670,110700,110200,110230,110170,110170,115120,115140,115030,115060
116710,116730,116620,116690,110710,110730,110660,110690,110180,110180,110140,110160,115050,115080,115020,115040
116690,116710,116640,116700,110690,110690,110600,110600,110150,110180,110110,110160,115040,115070,115020,115060
116690,116720,116670,116710,110600,110630,110570,110610,110150,110220,110140,110210,115060,115100,115030,115060
116710,116710,116620,116620,110620,110700,110610,110670,110210,110220,110170,110200,115070,115100,115040,115040
116640,116660,116620,116640,110670,110730,110670,110700,110200,110280,110200,110250,115050,115130,115050,115130
116650,116740,116630,116730,110710,110730,110660,110730,110260,110310,110250,110300,115130,115130,115070,115070
116720,116840,116710,116820,110720,110730,110620,110620,110300,110370,110300,110340,115070,115080,115040,115060
116830,116840,116790,116800,110620,110650,110600,110600,110350,110390,110340,110360,115070,115110,115060,115080
116810,116840,116770,116800,110610,110620,110510,110510,110370,110390,110320,110360,115090,115110,115060,115090
116810,116860,116800,116830,110510,110560,110500,110550,110360,110430,110360,110410,115090,115110,115090,115110
116830,116880,116810,116860,110560,110570,110510,110530,110430,110450,110360,110370,115100,115200,115080,115200
116870,116920,116860,116910,110530,110570,110520,110520,110390,110390,110290,110290,115190,115190,115160,115170
116890,116900,116820,116870,110520,110550,110510,110520,110300,110350,110290,110330,115160,115370,115160,115290
116870,116900,116830,116890,110520,110590,110520,110570,110340,110440,110330,110420,115300,115370,115270,115360
116890,116920,116890,116920,110560,110590,110560,110570,110420,110430,110360,110410,115360,115380,115320,115340
116920,116980,116910,116980,110590,110590,110430,110460,110410,110540,110380,110500,115350,115350,115300,115330
116980,117000,116930,117000,110440,110510,110430,110490,110500,110530,110430,110440,115330,115340,115300,115310
117000,117000,116940,116990,110490,110570,110480,110570,110440,110450,110340,110350,115320,115320,115300,115300
116980,117000,116950,116990,110570,110600,110510,110590,110350,110370,110320,110370,115310,115330,115290,115320
117000,117000,116950,116970,110570,110650,110560,110610,110370,110380,110320,110340,115320,115370,115280,115300
116960,116970,116930,116970,110610,110610,110570,110580,110330,110390,110330,110380,115290,115310,115280,115290
116960,116960,116890,116890,110590,110610,110530,110550,110390,110390,110320,110340,115290,115290,115270,115280
116900,116900,116840,116850,110550,110570,110530,110530,110350,110390,110290,110310,115280,115290,115280,115290
116860,116860,116780,116780,110560,110600,110520,110530,110310,110740,110310,110690,115290,115300,115280,115290
116790,116840,116760,116800,110540,110540,110450,110520,110690,110980,110680,110910,115280,115300,115260,115280
116810,116830,116780,116790,110520,110530,110490,110490,110910,111120,110850,111020,115280,115300,115250,115260
116780,116850,116770,116850,110480,110510,110430,110430,111020,111220,111020,111040,115260,115260,115130,115150
116850,116870,116800,116840,110430,110440,110250,110310,111030,111080,110980,111020,115160,115190,115150,115150
116840,116870,116840,116870,110300,110320,110220,110270,111020,111040,110920,110930,115170,115200,115160,115200
116860,116890,116840,116840,110260,110300,110250,110300,110930,110990,110910,110950,115180,115230,115160,115220
116840,116870,116820,116860,110300,110350,110270,110320,110960,111080,110950,111030,115220,115240,115160,115200
116880,116950,116860,116920,110330,110340,110220,110230,111030,111050,110780,110830,115200,115210,115110,115120
116930,116990,116900,116930,110220,110240,110110,110220,110830,110850,110760,110830,115140,115240,115120,115210
116930,116980,116910,116970,110220,110300,110210,110260,110820,110880,110770,110790,115200,115330,115130,115270
116960,117040,116960,117030,110260,110270,110230,110240,110800,110940,110770,110930,115280,115310,115170,115260
117030,117040,116990,117020,110240,110310,110240,110310,110920,110930,110850,110860,115260,115260,115170,115180
117020,117080,117010,117030,110290,110290,110240,110250,110870,110980,110870,110960,115180,115200,115050,115070
117030,117150,117030,117140,110240,110240,110050,110200,110970,111000,110940,110970,115070,115190,115060,115180
117140,117170,117040,117110,110190,110190,110110,110140,110970,110970,110880,110920,115180,115210,115180,115200
117120,117160,117120,117150,110130,110180,110010,110040,110910,110950,110770,110920,115220,115270,115200,115230
117160,117160,117100,117130,110040,110050,109870,109900,110920,110920,110860,110880,115230,115260,115190,115220
117120,117200,117100,117170,109900,109970,109860,109970,110880,110940,110860,110920,115210,115240,115210,115220
117160,117240,117120,117230,109970,110030,109940,110010,110920,110970,110910,110930,115220,115260,115220,115250
117220,117230,117190,117200,110010,110020,109980,109990,110930,110970,110900,110900,115250,115250,115190,115210
117190,117270,117180,117210,109990,110000,109960,109980,110910,110930,110890,110900,115220,115230,115190,115200
117210,117230,117120,117150,109990,110000,109910,109920,110900,110930,110870,110920,115210,115240,115190,115220
117160,117220,117060,117130,109920,109920,109780,109830,110920,111000,110870,110880,115220,115240,115190,115190
117120,117130,117080,117120,109830,109860,109780,109780,110890,110890,110830,110870,115200,115220,115180,115210
117080,117130,117080,117110,109800,109810,109610,109620,110870,110910,110840,110900,115220,115230,115180,115200
117110,117130,117080,117120,109620,109670,109500,109520,110860,110900,110840,110870,115210,115250,115210,115240
117130,117130,117110,117130,109520,109530,109320,109460,110860,110910,110850,110890,115240,115270,115210,115260
117110,117130,117030,117040,109450,109460,109390,109420,110880,110900,110850,110880,115250,115290,115250,115270
117040,117040,116940,116970,109410,109430,109300,109360,110870,110940,110820,110870,115270,115270,115190,115210
116960,116980,116880,116930,109370,109520,109360,109410,110860,110900,110840,110880,115220,115240,115190,115240
116940,116980,116910,116970,109410,109510,109330,109510,110860,110950,110860,110950,115230,115240,115210,115240
116970,117010,116920,116920,109510,109520,109420,109450,110950,110950,110860,110900,115230,115250,115220,115230
116940,116940,116780,116830,109470,109480,109420,109460,110900,110920,110870,110880,115240,115260,115200,115200
116830,116880,116830,116840,109450,109480,109420,109440,110880,110900,110820,110830,115210,115240,115200,115200
116860,116860,116540,116560,109420,109460,109380,109440,110820,110840,110760,110760,115210,115250,115200,115240
116580,116660,116540,116650,109420,109420,109310,109320,110760,110800,110740,110780,115240,115250,115220,115220
116650,116680,116610,116630,109320,109380,109320,109370,110770,110790,110700,110710,115230,115250,115220,115240
116650,116650,116580,116610,109350,109470,109350,109360,110710,110780,110710,110740,115240,115280,115240,115260
116620,116660,116590,116650,109370,109470,109340,109440,110740,110790,110720,110790,115260,115260,115210,115230
116650,116670,116620,116640,109440,109580,109430,109510,110770,110770,110730,110760,115230,115250,115230,115230
116630,116700,116590,116680,109490,109560,109490,109540,110760,110780,110720,110760,115220,115220,115190,115210
116680,116700,116650,116670,109530,109600,109500,109540,110770,110780,110730,110750,115220,115220,115160,115200
116660,116680,116610,116650,109530,109610,109530,109600,110740,110790,110730,110790,115200,115200,115120,115130
116640,116730,116610,116720,109600,109620,109540,109580,110780,110820,110770,110800,115130,115190,115110,115170
116730,116800,116720,116800,109580,109590,109520,109560,110810,110870,110800,110850,115180,115190,115140,115150
116810,116810,116670,116680,109550,109580,109510,109560,110840,110920,110830,110860,115160,115190,115130,115160
116680,116750,116650,116730,109560,109560,109450,109510,110860,110870,110830,110850,115170,115190,115170,115180
116740,116750,116700,116750,109510,109640,109480,109610,110840,110860,110800,110800,115190,115250,115180,115220
116760,116800,116720,116730,109610,109640,109580,109610,110800,110850,110790,110820,115210,115280,115200,115280
116740,116750,116670,116750,109610,109630,109450,109460,110820,110830,110790,110800,115280,115330,115270,115280
116750,116920,116750,116880,109460,109520,109460,109500,110790,110800,110730,110750,115270,115330,115260,115290
116890,116980,116870,116880,109500,109530,109430,109440,110750,110790,110730,110760,115290,115300,115250,115290
116880,116970,116860,116960,109440,109460,109300,109340,110760,110790,110730,110750,115300,115350,115280,115300
116960,117000,116910,116920,109350,109600,109340,109520,110770,110770,110710,110730,115310,115320,115270,115280
116920,116950,116880,116950,109510,109760,109460,109720,110730,110810,110710,110750,115280,115290,115210,115230
116930,116950,116880,116910,109720,109800,109660,109690,110740,110750,110670,110690,115230,115260,115220,115230
116920,116990,116910,116980,109690,109700,109520,109660,110690,110700,110640,110650,115220,115250,115220,115250
116980,117010,116970,117000,109670,109720,109600,109620,110650,110690,110630,110690,115240,115250,115210,115250
117010,117090,117000,117080,109620,109660,109500,109520,110700,110710,110530,110560,115250,115290,115250,115280
117090,117090,116980,116980,109520,109700,109430,109680,110550,110590,110510,110540,115290,115310,115250,115300
116990,117020,116880,116940,109680,109710,109520,109640,110530,110600,110520,110570,115300,115300,115220,115280
116940,116940,116880,116920,109640,109680,109540,109660,110570,110610,110560,110590,115280,115290,115240,115270
116900,116930,116900,116910,109670,109810,109590,109760,110580,110590,110500,110570,115270,115330,115240,115310
116910,116950,116900,116940,109770,109890,109750,109840,110580,110640,110580,110580,115300,115370,115300,115350
116950,116950,116910,116910,109840,109890,109800,109800,110600,110740,110600,110720,115360,115380,115340,115340
116900,116980,116900,116950,109810,109890,109770,109800,110720,110800,110700,110700,115340,115370,115310,115350
116950,116970,116880,116920,109800,109830,109740,109810,110700,110710,110650,110700,115350,115380,115310,115340
116880,116900,116760,116870,109820,109820,109710,109770,110690,110710,110610,110630,115340,115360,115300,115300
116870,116890,116810,116820,109770,109770,109680,109680,110610,110660,110610,110640,115300,115360,115300,115340
116810,116820,116760,116780,109680,109680,109560,109610,110630,110660,110610,110650,115330,115340,115270,115290
116760,116860,116720,116850,109610,109730,109610,109720,110650,110650,110590,110620,115300,115330,115270,115320
116860,116940,116790,116790,109710,109740,109640,109740,110620,110690,110590,110660,115320,115330,115310,115320
116790,116840,116790,116830,109750,109860,109710,109840,110650,110790,110650,110780,115320,115470,115300,115440
116840,116870,116810,116830,109840,109840,109760,109780,110770,110840,110740,110820,115430,115450,115390,115410
116820,116820,116750,116770,109760,109820,109730,109750,110820,110870,110780,110850,115410,115440,115390,115420
116770,116800,116680,116750,109760,109850,109730,109850,110850,110870,110800,110820,115410,115460,115390,115430
116750,116840,116720,116820,109860,109860,109780,109800,110820,110850,110780,110810,115430,115470,115420,115420
116830,116960,116820,116900,109810,109810,109690,109760,110810,110870,110800,110840,115420,115420,115370,115390
116910,116920,116880,116900,109770,109860,109770,109840,110840,110850,110740,110770,115400,115440,115380,115420
116900,117000,116900,116940,109850,109910,109820,109910,110770,110770,110710,110760,115420,115440,115320,115340
116950,116960,116910,116930,109900,109930,109860,109880,110760,110820,110750,110790,115330,115350,115190,115240
116950,116990,116940,116960,109890,109920,109820,109820,110780,110820,110770,110810,115230,115280,115230,115270
116970,117030,116930,117000,109830,109850,109800,109820,110820,110900,110790,110890,115250,115260,115180,115220
116990,117050,116990,117040,109810,109820,109640,109670,110880,110950,110870,110900,115210,115250,115190,115230
117040,117130,117040,117100,109680,109790,109660,109730,110900,110930,110820,110840,115220,115280,115200,115270
117090,117140,117060,117140,109740,109790,109710,109730,110830,110850,110800,110810,115280,115300,115230,115270
117140,117170,117080,117090,109730,109810,109700,109750,110810,110890,110800,110870,115280,115290,115190,115210
117080,117090,116960,116980,109740,109770,109690,109710,110860,110920,110850,110910,115220,115260,115210,115260
116980,116990,116850,116960,109700,109770,109660,109760,110910,110960,110850,110850,115260,115320,115260,115300
116950,117000,116870,116920,109760,109880,109760,109830,110850,110870,110720,110760,115300,115320,115250,115270
116930,116970,116900,116950,109830,109840,109740,109790,110760,110820,110740,110810,115270,115270,115200,115220
116960,116980,116850,116850,109770,109780,109650,109660,110810,110910,110800,110900,115220,115260,115210,115210
116850,116900,116830,116880,109670,109730,109580,109590,110880,110900,110800,110800,115220,115310,115200,115300
116880,116880,116860,116880,109580,109690,109580,109680,110800,110840,110790,110790,115310,115330,115290,115310
116870,116880,116840,116880,109680,109730,109650,109700,110780,110860,110760,110850,115310,115450,115310,115410
116860,116910,116830,116840,109710,109770,109680,109740,110870,110880,110820,110820,115410,115420,115350,115380
116850,116850,116790,116840,109730,109820,109690,109800,110820,110870,110820,110840,115380,115420,115370,115420
116840,116890,116830,116880,109820,109840,109690,109720,110850,110870,110810,110840,115420,115430,115360,115370
116870,116890,116790,116850,109740,109750,109710,109710,110830,110880,110830,110870,115380,115440,115380,115400
116850,116950,116830,116940,109730,109800,109660,109680,110870,110870,110800,110830,115410,115410,115380,115410
116930,116990,116910,116930,109680,109690,109630,109670,110810,110840,110810,110840,115420,115440,115410,115430
116940,117010,116940,117000,109670,109700,109660,109700,110830,110830,110760,110770,115420,115450,115420,115450
117000,117040,116970,116990,109700,109880,109700,109830,110770,110840,110770,110830,115460,115460,115420,115450
116990,117070,116980,116990,109820,109830,109730,109750,110840,110860,110820,110860,115450,115460,115430,115460
116990,117080,116990,117080,109740,109780,109700,109720,110860,110860,110740,110750,115460,115460,115420,115440
117080,117130,117020,117030,109720,109770,109660,109710,110740,110860,110730,110850,115430,115450,115420,115430
117040,117060,116990,117020,109710,109730,109640,109670,110860,110860,110760,110780,115430,115460,115420,115430
117020,117150,117010,117120,109670,109670,109530,109590,110800,110820,110770,110800,115440,115440,115410,115420
117140,117140,117020,117030,109580,109580,109470,109540,110800,110860,110790,110840,115420,115430,115380,115390
117030,117050,117000,117020,109530,109550,109440,109490,110830,110860,110810,110830,115400,115410,115340,115350
117010,117070,117010,117040,109500,109550,109480,109550,110820,110900,110810,110900,115360,115400,115360,115380
117030,117140,117020,117130,109550,109550,109440,109510,110910,110930,110870,110900,115390,115460,115380,115400
117140,117160,117050,117070,109500,109550,109420,109500,110900,110990,110880,110980,115410,115430,115340,115340
117060,117120,117020,117120,109510,109510,109420,109440,110980,111060,110920,110940,115350,115380,115280,115300
117120,117230,117100,117220,109440,109510,109430,109490,110950,110960,110890,110910,115310,115440,115310,115420
117220,117220,117150,117180,109500,109610,109480,109600,110910,110980,110910,110930,115420,115560,115420,115520
117190,117240,117170,117220,109610,109620,109450,109480,110930,110990,110910,110980,115510,115570,115500,115510
117210,117250,117190,117190,109470,109480,109350,109360,110990,111120,110960,111100,115520,115590,115520,115550
117200,117220,117170,117210,109350,109400,109230,109260,111100,111270,111090,111260,115550,115620,115520,115550
117210,117290,117210,117230,109280,109280,109200,109260,111240,111350,111230,111320,115540,115620,115510,115510
117240,117270,117190,117190,109250,109330,109220,109310,111300,111340,111220,111290,115510,115570,115500,115530
117180,117220,117040,117070,109320,109330,109260,109300,111300,111310,111230,111270,115520,115600,115480,115520
117050,117240,117050,117160,109290,109290,109210,109210,111280,111290,111140,111170,115510,115590,115490,115500
117160,117220,117160,117190,109210,109340,109200,109330,111160,111190,111100,111120,115510,115560,115460,115530
117200,117200,117120,117170,109330,109340,109280,109300,111120,111140,111060,111080,115530,115640,115500,115610
117160,117200,117160,117200,109300,109310,109220,109260,111070,111140,111060,111090,115600,115650,115590,115610
117190,117320,117190,117270,109270,109270,109180,109190,111100,111100,110980,110990,115630,115670,115610,115670
117270,117380,117260,117370,109180,109300,109180,109290,111000,111080,110960,110980,115660,115700,115620,115630
117370,117410,117350,117380,109290,109350,109260,109340,110990,111000,110820,110870,115640,115640,115580,115620
117380,117500,117370,117410,109350,109430,109330,109400,110870,110880,110770,110830,115620,115630,115580,115610
117420,117470,117410,117440,109410,109520,109400,109470,110830,110920,110820,110890,115620,115630,115540,115600
117440,117570,117420,117510,109480,109500,109410,109450,110880,110930,110850,110850,115600,115660,115590,115610
117510,117610,117510,117520,109460,109490,109410,109430,110860,110960,110840,110950,115620,115630,115570,115580
117540,117710,117520,117670,109430,109500,109410,109490,110950,110960,110870,110940,115580,115600,115440,115460
117660,117780,117610,117720,109500,109580,109440,109500,110940,110970,110900,110900,115460,115470,115410,115460
117740,117790,117640,117640,109500,109560,109490,109550,110910,110960,110860,110920,115460,115490,115420,115420
117650,117730,117640,117680,109560,109560,109460,109480,110930,110980,110850,110870,115420,115440,115290,115310
117680,117720,117650,117690,109480,109560,109460,109460,110870,110890,110830,110830,115320,115330,115250,115290
117690,117730,117670,117720,109460,109640,109460,109600,110830,110860,110790,110860,115300,115330,115290,115310
117710,117750,117620,117700,109600,109720,109600,109690,110840,110850,110790,110820,115310,115320,115270,115280
117700,117880,117700,117830,109690,109710,109590,109600,110820,110820,110740,110740,115290,115300,115270,115300
117840,117900,117810,117880,109590,109640,109550,109640,110750,110830,110740,110800,115300,115300,115230,115270
117890,117960,117880,117910,109650,109690,109550,109570,110800,110890,110740,110850,115270,115290,114960,114970
117910,117930,117860,117870,109560,109570,109460,109550,110840,110910,110810,110860,114960,115030,114910,114970
117870,117870,117810,117840,109550,109700,109520,109640,110860,110880,110780,110850,114980,115090,114970,115060
117840,117860,117730,117730,109660,109660,109600,109600,110850,110880,110810,110830,115050,115180,115020,115150
117750,117800,117750,117760,109610,109630,109570,109600,110840,110850,110770,110780,115150,115170,115110,115160
117760,117800,117720,117750,109610,109630,109580,109630,110790,110820,110710,110730,115160,115230,115150,115210
117760,117800,117740,117760,109630,109750,109620,109730,110720,110810,110720,110770,115220,115280,115180,115210
117760,117820,117750,117800,109720,109780,109670,109730,110770,110790,110650,110720,115200,115240,115170,115230
117790,117810,117750,117760,109730,109780,109700,109710,110720,110780,110710,110770,115240,115280,115230,115240
117760,117840,117750,117840,109710,109770,109700,109720,110770,110800,110760,110790,115240,115380,115240,115340
117840,117940,117840,117930,109730,109730,109650,109660,110770,110790,110700,110740,115340,115360,115220,115230
117930,118060,117930,117980,109660,109690,109650,109670,110740,110740,110670,110700,115230,115280,115230,115280
117980,118060,117970,118030,109670,109690,109610,109630,110690,110740,110670,110730,115270,115300,115210,115260
118020,118110,118010,118040,109620,109680,109610,109650,110710,110760,110670,110750,115260,115270,115170,115190
118030,118080,118030,118060,109640,109680,109590,109650,110750,110870,110740,110870,115200,115210,115110,115130
118050,118080,117960,117990,109650,109650,109520,109520,110860,110910,110850,110890,115130,115210,115120,115180
117980,117990,117910,117910,109520,109630,109520,109630,110870,110960,110840,110860,115160,115220,115150,115220
117910,117940,117870,117930,109620,109670,109600,109620,110850,110860,110740,110760,115190,115210,115170,115210
117940,118000,117910,117940,109610,109720,109610,109690,110750,110810,110740,110790,115200,115260,115190,115230
117940,118020,117930,117990,109700,109760,109670,109730,110790,110820,110780,110810,115250,115270,115190,115200
118000,118020,117950,118000,109740,109800,109710,109740,110810,110820,110770,110780,115200,115210,115060,115090
118000,118030,117980,118020,109730,109760,109690,109730,110770,110770,110710,110730,115080,115220,115080,115220
118030,118030,117970,117980,109720,109750,109690,109730,110720,110760,110720,110760,115210,115240,115170,115240
117970,117990,117950,117960,109730,109780,109700,109710,110760,110780,110720,110740,115240,115240,115180,115190
117980,118050,117980,118010,109700,109740,109620,109670,110740,110770,110710,110740,115190,115240,115120,115140
118020,118050,117980,117980,109690,109740,109640,109710,110730,110760,110690,110750,115140,115220,115130,115180
117980,118050,117980,118020,109700,109720,109640,109670,110740,110800,110680,110730,115170,115210,115150,115200
118020,118070,118000,118030,109660,109720,109630,109690,110720,110750,110680,110700,115190,115190,115120,115120
118020,118060,117960,117980,109700,109740,109660,109720,110680,110770,110640,110760,115120,115130,115060,115090
117990,118010,117860,117870,109730,109800,109720,109800,110770,110880,110760,110800,115080,115140,115070,115120
117870,118020,117870,118000,109790,109850,109750,109790,110800,110800,110640,110680,115120,115170,115080,115140
118000,118060,117990,118060,109780,109880,109780,109860,110680,110810,110670,110710,115140,115150,115060,115080
118060,118070,117980,118010,109860,110100,109840,110090,110720,110720,110540,110610,115080,115120,115000,115040
118010,118020,117940,117950,110080,110110,110050,110080,110590,110600,110510,110540,115030,115050,114980,115010
117950,118060,117950,118040,110090,110240,110050,110230,110530,110630,110450,110610,115020,115060,115000,115040
118050,118260,118050,118140,110230,110260,110190,110210,110590,110780,110530,110780,115050,115070,115000,115040
118140,118170,118090,118130,110210,110370,110200,110340,110780,110800,110720,110740,115040,115080,115020,115060
118140,118160,118090,118100,110350,110380,110270,110290,110740,110770,110660,110740,115060,115160,115060,115140
118110,118170,118100,118100,110300,110340,110280,110310,110740,110790,110680,110750,115150,115160,115060,115070
118090,118150,118060,118070,110300,110360,110290,110330,110750,110750,110640,110730,115070,115070,114990,115010
118060,118180,118040,118150,110340,110370,110310,110310,110720,110940,110630,110940,115000,115000,114870,114910
118150,118210,118050,118050,110300,110480,110300,110470,110930,111080,110900,110930,114920,115010,114910,114970
118060,118100,118060,118080,110470,110570,110460,110540,110930,110970,110850,110970,114960,115030,114900,115010
118080,118120,118070,118120,110540,110550,110450,110490,110950,110980,110920,110960,115000,115090,114980,115070
118120,118170,118100,118170,110490,110540,110460,110500,110950,110980,110860,110890,115050,115070,115000,115020
118130,118200,118060,118120,110470,110500,110400,110470,110860,110950,110800,110850,114980,114990,114680,114890
118130,118190,118120,118180,110470,110520,110220,110380,110840,111180,110830,110940,114900,114910,114710,114760
118170,118200,118160,118180,110380,110450,110270,110350,110930,110960,110820,110960,114770,114870,114730,114870
118200,118250,118180,118220,110370,110420,110350,110380,110940,110960,110870,110940,114870,115010,114830,114960
118230,118290,118230,118260,110390,110440,110350,110370,110930,110940,110890,110890,114960,115040,114950,115030
118250,118350,118250,118300,110360,110530,110360,110520,110890,110980,110890,110910,115020,115040,114990,115010
118290,118300,118090,118110,110530,110540,110470,110500,110910,111040,110880,111030,115010,115020,114950,115000
118120,118130,118040,118100,110510,110510,110450,110480,111020,111040,110940,110990,115010,115020,114960,115000
118110,118120,118090,118110,110470,110510,110420,110490,111000,111080,111000,111080,114980,115030,114970,115000
118100,118120,118040,118050,110480,110520,110410,110420,111090,111120,111010,111060,115000,115070,114990,115030
118050,118070,117960,118060,110430,110500,110420,110470,111060,111080,111030,111050,115020,115100,114990,115100
118050,118080,118030,118060,110480,110530,110400,110400,111060,111130,111050,111090,115090,115110,115070,115070
118080,118090,118060,118090,110400,110420,110360,110370,111100,111230,111080,111160,115080,115080,114970,114970
118090,118120,118070,118120,110360,110420,110330,110360,111160,111200,111140,111180,114970,115020,114950,115010
118100,118130,118070,118070,110370,110370,110290,110340,111200,111200,111130,111130,115020,115020,114820,114910
118080,118180,118080,118160,110350,110390,110310,110380,111140,111160,111080,111110,114910,115030,114860,115030
118160,118200,118110,118110,110370,110380,110280,110290,111090,111100,111020,111050,115030,115130,115010,115080
118120,118150,118070,118090,110280,110380,110280,110340,111050,111060,111010,111040,115080,115110,115020,115030
118090,118110,118060,118080,110330,110360,110300,110340,111030,111100,111030,111100,115030,115110,115020,115080
